model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
alpha_2.5_temp_10.0,2.5,10.0,45,2600,1.1283706,1.4920195,1.0,1.3569442597724102,0.4605619031637907,0.21856331943223872,0.22787555889040234
alpha_2.5_temp_10.0,2.5,10.0,45,2700,1.1164284,1.4931597,1.0,1.3350489020427714,0.4623812537391981,0.20752752572049696,0.21134100742638115
alpha_2.5_temp_10.0,2.5,10.0,45,2800,1.107239,1.4871987,1.0,1.3418445883721206,0.46360662037134165,0.2056575595897933,0.2128348997582992
alpha_2.5_temp_10.0,2.5,10.0,45,2900,1.0977787,1.4940162,1.0,1.3507247134127691,0.46343849050998687,0.21081427370011804,0.22458442417283853
alpha_2.5_temp_10.0,2.5,10.0,45,3000,1.0888274,1.4902793,1.0,1.3399774728318363,0.4620377539098262,0.21095894692093134,0.21576184318463007
alpha_2.5_temp_10.0,2.5,10.0,45,3100,1.0749788,1.4957299,1.0,1.3308408882704466,0.4626338764627775,0.20528930440545082,0.205992212176323
alpha_2.5_temp_10.0,2.5,10.0,45,3200,1.0652598,1.5045593,1.0,1.3369820900989007,0.46118948592245584,0.20967735074460506,0.21479997315506139
alpha_2.5_temp_10.0,2.5,10.0,45,3300,1.0565879,1.5042386,1.0,1.3385787388443176,0.46338701415558653,0.21044694892813762,0.21460608437657358
alpha_2.5_temp_10.0,2.5,10.0,45,3400,1.0464051,1.5080059,1.0,1.3282397631496352,0.4648350970248381,0.204101603500545,0.20585789049168426
alpha_2.5_temp_10.0,2.5,10.0,45,3500,1.0350386,1.510574,1.0,1.3423718035043137,0.46449634977181753,0.20831352943430345,0.20983134199182193
alpha_2.5_temp_10.0,2.5,10.0,45,3600,1.0264958,1.5190777,1.0,1.3215026658136904,0.46565714752177395,0.20415558972458045,0.2071196404496829
alpha_2.5_temp_10.0,2.5,10.0,45,3700,1.0146996,1.5196787,1.0,1.33404397686692,0.4651983516613642,0.2068399316718181,0.2097134966105223
alpha_2.5_temp_10.0,2.5,10.0,45,3800,1.0072018,1.529878,1.0,1.319831357306654,0.4655493078231811,0.20392507360875603,0.20731736544022958
